Text id,Text title,Text tokenized definition,Dominant_Topic,Perc_Contribution,Topic_Keywords
15,   Credit or store card unclear balance   ,"['household', 'credit', 'store', 'unclear', 'balanc', 'household', 'month', 'amount', 'spent', 'credit', 'store', 'least', 'three', 'consecut', 'month', 'becaus', 'financi', 'difficulti', 'credit', 'characteris', 'specif', 'credit', 'facil', 'monei', 'peopl', 'between', 'purchas', 'repay', 'amount', 'interest', 'balanc', 'clear', 'month', 'there', 'monthli', 'statement', 'monei', 'spent', 'specifi', 'minimum', 'amount', 'credit', 'debit', 'which', 'monei', 'spent', 'immedi', 'deduct', 'account', 'store', 'credit', 'singl', 'compani', 'store', 'which', 'compani', 'store', 'payment']",18,0.5921000242233276,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
17,Arrival,"['arriv', 'somewhat', 'differ', 'sever', 'statist', 'context', 'arriv', 'tourist', 'tourist', 'accommod', 'establish', 'european', 'union', 'tourism', 'statist', 'arriv', 'tourist', 'border', 'european', 'neighbourhood', 'polici', 'statist', 'tourism', 'arriv', 'trade', 'intern', 'trade']",14,0.335999995470047,"statist, refer, which, inform, collect, locat, between, point, water, variabl"
18,Arrival - international trade,"['arriv', 'disambigu', 'other', 'arriv', 'arriv', 'context', 'intern', 'trade', 'refer', 'circul', 'within', 'european', 'union', 'which', 'enter', 'statist', 'territori', 'given', 'member', 'state']",19,0.6179999709129333,"countri, state, resid, member, trade, european, union, intern, januari, econom"
19,   Dispatch   ,"['dispatch', 'context', 'extern', 'trade', 'refer', 'circul', 'within', 'european', 'union', 'which', 'statist', 'territori', 'given', 'member', 'state', 'enter', 'statist', 'territori', 'anoth', 'member', 'state']",19,0.7849000096321106,"countri, state, resid, member, trade, european, union, intern, januari, econom"
20,   Export   ,"['extra', 'export', 'includ', 'which', 'statist', 'territori', 'european', 'union', 'countri', 'after', 'place', 'under', 'custom', 'procedur', 'export', 'final', 'export', 'export', 'follow', 'inward', 'process', 'origin', 'member', 'state', 'follow', 'transfer', 'anoth', 'member', 'state', 'where', 'custom', 'procedur', 'carri', 'under', 'custom', 'procedur', 'outward', 'process', 'usual', 'destin', 'process', 'subsequ', 'import', 'intra', 'export', 'dispatch', 'given', 'member', 'state', 'includ', 'destin', 'anoth', 'member', 'state', 'which', 'circul', 'place', 'given', 'member', 'state', 'under', 'custom', 'procedur', 'inward', 'process', 'until', 'april', 'process', 'under', 'custom', 'control', 'nation', 'account', 'export', 'consist', 'transact', 'servic', 'barter', 'grant', 'resid', 'resid', 'export', 'occur', 'there', 'chang', 'ownership', 'resid', 'resid', 'smuggl', 'includ', 'export', 'chang', 'ownership', 'necessarili', 'impli', 'question', 'physic', 'cross', 'frontier', 'cross', 'border', 'financi', 'deliveri', 'between', 'affili', 'enterpris', 'signific', 'process', 'order', 'repair', 'nation', 'account', 'imput', 'chang', 'ownership', 'though', 'legal', 'chang', 'ownership', 'place', 'export', 'servic', 'consist', 'servic', 'render', 'resid', 'resid', 'nation', 'account', 'direct', 'purchas', 'resid', 'econom', 'territori', 'countri', 'record', 'export', 'servic', 'therefor', 'expenditur', 'foreign', 'tourist', 'econom', 'territori', 'countri', 'consid', 'export', 'servic', 'countri', 'intern', 'illeg', 'servic', 'includ', 'updat', 'version', 'system', 'nation', 'account', 'appli', 'principl', 'chang', 'ownership', 'univers', 'nation', 'account', 'record', 'abroad', 'after', 'process', 'order', 'export', 'process', 'record', 'export', 'servic', 'econom', 'territori', 'where', 'processor', 'resid', 'import', 'servic', 'econom', 'territori', 'where', 'order', 'parti', 'resid', 'analog', 'nation', 'account', 'transact', 'servic', 'resid', 'resid', 'import']",19,0.5382000207901001,"countri, state, resid, member, trade, european, union, intern, januari, econom"
21,   Import   ,"['extra', 'import', 'includ', 'enter', 'statist', 'territori', 'european', 'union', 'countri', 'which', 'place', 'under', 'custom', 'procedur', 'releas', 'circul', 'either', 'immedi', 'after', 'period', 'custom', 'warehous', 'either', 'member', 'state', 'entri', 'after', 'transfer', 'anoth', 'member', 'state', 'under', 'custom', 'procedur', 'inward', 'process', 'until', 'april', 'process', 'under', 'custom', 'control', 'usual', 'destin', 'process', 'subsequ', 'export', 'either', 'immedi', 'after', 'period', 'custom', 'warehous', 'intra', 'import', 'arriv', 'given', 'member', 'state', 'includ', 'enter', 'which', 'circul', 'place', 'anoth', 'member', 'state', 'under', 'custom', 'procedur', 'inward', 'process', 'until', 'april', 'process', 'under', 'custom', 'control']",19,0.7166000008583069,"countri, state, resid, member, trade, european, union, intern, januari, econom"
23,Artificial areas,"['artifici', 'those', 'characteris', 'artifici', 'often', 'impervi', 'cover', 'construct', 'pavement', 'built', 'artifici', 'construct', 'built', 'perman', 'purpos', 'which', 'enter', 'person', 'built', 'artifici', 'characteris', 'artifici', 'impervi', 'cover', 'artifici', 'materi', 'exampl', 'concret', 'gravel']",8,0.9524999856948853,"build, livestock, construct, internet, which, access, purpos, inform, target, system"
24,   Built-up land   ,"['built', 'relat', 'agricultur', 'statist', 'compris', 'residenti', 'industri', 'quarri', 'commerci', 'public', 'servic', 'transport', 'commun', 'technic', 'infrastructur', 'recreat', 'other', 'scatter', 'build', 'annex', 'exclud']",9,0.6402999758720398,"servic, transport, includ, other, vehicl, place, exclud, tourism, accommod, facil"
25,   Land cover   ,"['cover', 'refer', 'observ', 'physic', 'cover', 'earth', 'surfac', 'class', 'cover', 'nomenclatur', 'follow', 'artifici', 'cropland', 'woodland', 'shrubland', 'grassland', 'bareland', 'water', 'wetland', 'variou', 'biophys', 'categori', 'distinguish', 'veget', 'grass', 'artifici', 'build', 'water', 'sheet', 'water', 'watercours', 'wetland', 'cover', 'correspond', 'physic', 'coverag', 'earth', 'surfac', 'cover', 'observ', 'field', 'visit', 'aerial', 'photograph', 'satellit', 'sensor']",10,0.5529000163078308,"manur, cover, surfac, where, water, permit, emiss, liquid, remov, solid"
26,   Land use   ,"['refer', 'socio', 'econom', 'purpos', 'residenti', 'industri', 'agricultur', 'forestri', 'recreat', 'transport', 'purpos', 'often', 'sever', 'purpos', 'woodland', 'forestri', 'recreat', 'purpos', 'class', 'nomenclatur', 'follow', 'agricultur', 'forestri', 'quarri', 'energi', 'product', 'industri', 'manufactur', 'transport', 'commun', 'network', 'storag', 'protect', 'water', 'treatment', 'construct', 'commerc', 'financ', 'commun', 'servic', 'recreat', 'leisur', 'sport', 'residenti']",9,0.3865000009536743,"servic, transport, includ, other, vehicl, place, exclud, tourism, accommod, facil"
29,Arrival of tourist at the border,"['arriv', 'disambigu', 'other', 'arriv', 'arriv', 'tourist', 'border', 'refer', 'number', 'intern', 'visitor', 'arriv', 'given', 'given', 'countri', 'least', 'night', 'indic', 'includ', 'resid', 'citizen', 'destin', 'countri', 'exclud', 'foreign', 'resid', 'given', 'countri', 'tourist', 'visitor', 'least', 'night', 'collect', 'privat', 'accommod', 'definit', 'context', 'european', 'neighbourhood', 'polici', 'south', 'southern', 'mediterranean', 'statist', 'diverg', 'somewhat', 'european', 'union', 'tourism', 'statist', 'latter', 'arriv', 'tourism', 'establish', 'defin', 'tourist', 'resid', 'resid', 'countri', 'where', 'establish', 'locat', 'arriv', 'tourist', 'accommod', 'establish', 'accommod', 'accommod', 'latter', 'collect', 'scope', 'tourism', 'regul', 'howev', 'consequ', 'defint', 'differ', 'aspect', 'arriv', 'border', 'versu', 'tourism', 'establish', 'resid', 'citizen', 'exclud', 'versu', 'includ']",9,0.37400001287460327,"servic, transport, includ, other, vehicl, place, exclud, tourism, accommod, facil"
32,Arithmetic mean,"['arithmet', 'known', 'arithmet', 'averag', 'numer', 'divid', 'number', 'exampl', 'eight', 'their', 'arithmet', 'averag', 'common', 'daili', 'averag', 'usual', 'refer', 'arithmet', 'rather', 'other', 'averag', 'geometr', 'harmon', 'median']",3,0.5476999878883362,"number, popul, death, enterpris, statist, period, averag, birth, refer, chang"
33,   Geometric mean   ,"['geometr', 'sometim', 'geometr', 'averag', 'averag', 'calcul', 'multipli', 'posit', 'where', 'number', 'geometr', 'minim', 'effect', 'extrem', 'instanc', 'averag', 'growth']",3,0.920799970626831,"number, popul, death, enterpris, statist, period, averag, birth, refer, chang"
34,   Median   ,"['median', 'middl', 'group', 'number', 'order', 'median', 'variat', 'which', 'divid', 'total', 'frequenc', 'other', 'number', 'score', 'exactli', 'middl', 'score', 'below', 'exampl', 'median', 'three', 'number', 'ascend', 'order', 'middl', 'number', 'median']",3,0.7555000185966492,"number, popul, death, enterpris, statist, period, averag, birth, refer, chang"
35,   Modus   ,"['latin', 'frequent', 'origin', 'conceiv', 'variat', 'variabl', 'which', 'possess', 'greatest', 'number', 'member', 'popul', 'number', 'refer', 'number', 'occur', 'often', 'exampl', 'number', 'ascend', 'order', 'number', 'occur', 'three']",3,0.8353000283241272,"number, popul, death, enterpris, statist, period, averag, birth, refer, chang"
41,Area under cultivation,"['under', 'cultiv', 'correspond', 'total', 'after', 'harvest', 'exclud', 'natur', 'disast', 'parcel', 'twice', 'parcel', 'count', 'twice']",18,0.9049999713897705,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
44,   Agricultural area   ,"['agricultur', 'abbrevi', 'describ', 'alreadi', 'could', 'brought', 'cultiv', 'resourc', 'normal', 'avail', 'agricultur', 'includ', 'arabl', 'perman', 'grassland', 'perman', 'kitchen', 'garden', 'repres', 'small', 'total', 'unutilis', 'agricultur', 'special', 'exclud', 'other', 'occupi', 'build', 'farmyard', 'track']",18,0.6567999720573425,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
47,Areas facing natural constraints,"['natur', 'constraint', 'which', 'european', 'union', 'member', 'state', 'region', 'grant', 'payment', 'farmer', 'compens', 'product', 'difficulti', 'occas', 'particular', 'biophys', 'aspect', 'environ', 'defin', 'rural', 'develop', 'relat', 'common', 'agricultur', 'polici']",5,0.35260000824928284,"european, state, member, union, regul, council, commiss, abbrevi, econom, nation"
48,   Common agricultural policy (CAP)   ,"['common', 'agricultur', 'polici', 'abbrevi', 'european', 'union', 'agricultur', 'polici', 'establish', 'under', 'articl', 'treati', 'establish', 'european', 'commun', 'european', 'farmer', 'million', 'european', 'object', 'provid', 'stabl', 'sustain', 'produc', 'suppli', 'afford', 'price', 'consum', 'while', 'ensur', 'decent', 'standard', 'million', 'farmer', 'agricultur', 'worker', 'import', 'polici', 'budget', 'point', 'agricultur', 'spend', 'account', 'around', 'budget', 'legal', 'framework', 'adopt', 'jointli', 'council', 'european', 'parliament', 'implement', 'respons', 'member', 'state', 'chang', 'establish', 'continu', 'chang', 'todai', 'focus', 'three', 'prioriti', 'viabl', 'product', 'sustain', 'manag', 'natur', 'resourc', 'balanc', 'develop', 'rural', 'throughout', 'follow', 'regul', 'central', 'function', 'common', 'agricultur', 'polici', 'regul', 'decemb', 'establish', 'direct', 'payment', 'farmer', 'under', 'support', 'scheme', 'within', 'framework', 'common', 'agricultur', 'polici', 'repeal', 'council', 'regul', 'council', 'regul', 'regul', 'decemb', 'establish', 'common', 'organis', 'market', 'agricultur', 'product', 'repeal', 'council', 'regul', 'regul', 'decemb', 'support', 'rural', 'develop', 'european', 'agricultur', 'rural', 'develop', 'eafrd', 'repeal', 'council', 'regul', 'regul', 'decemb', 'financ', 'manag', 'monitor', 'common', 'agricultur', 'polici', 'repeal', 'council', 'regul']",5,0.697700023651123,"european, state, member, union, regul, council, commiss, abbrevi, econom, nation"
50,Arable land,"['arabl', 'plough', 'regularli', 'gener', 'under', 'system', 'rotat', 'includ', 'cereal', 'protein', 'industri', 'plant', 'harvest', 'green', 'fresh', 'veget', 'includ', 'melon', 'strawberri', 'flower', 'ornament', 'plant', 'seedl', 'other', 'arabl', 'fallow', 'exclud', 'berri', 'plantat', 'their', 'perman', 'definit', 'taken', 'cultiv', 'cultiv', 'mushroom']",18,0.9587000012397766,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
53,   Kitchen gardens   ,"['kitchen', 'garden', 'agricultur', 'devot', 'cultiv', 'agricultur', 'product', 'veget', 'perman', 'among', 'other', 'intend', 'consumpt', 'holder', 'household', 'normal', 'separ', 'agricultur', 'recognis', 'kitchen', 'garden', 'normal', 'these', 'correspond', 'small', 'aspect', 'identifi', 'kitchen', 'garden', 'kitchen', 'garden', 'consumpt', 'occasion', 'surplu', 'product', 'which', 'product', 'consist', 'market', 'belong', 'under', 'other', 'product', 'consum', 'holder', 'household', 'includ', 'cultiv', 'collect', 'household', 'exampl', 'research', 'institut', 'religi', 'commun', 'board', 'school', 'prison', 'which', 'consumpt', 'exclud', 'which', 'product', 'consist', 'market', 'product', 'consum', 'holder', 'household', 'produc', 'forag', 'though', 'consum', 'holder', 'famili', 'pleasur', 'garden', 'cultiv', 'collect', 'household', 'exampl', 'research', 'institut', 'religi', 'commun', 'board', 'school', 'prison', 'which', 'consumpt', 'differ', 'between', 'collect', 'gener', 'statist', 'classif', 'econom', 'activ', 'european', 'commun', 'differenti', 'between', 'market', 'market', 'activ', 'distinct', 'import', 'featur', 'system', 'nation', 'account', 'divis', 'includ', 'subsist', 'servic', 'produc', 'activ', 'household', 'includ', 'activ', 'gather', 'produc', 'household', 'subsist', 'household', 'engag', 'product', 'market', 'classifi', 'appropri', 'produc', 'industri']",11,0.258899986743927,"survei, agricultur, household, indic, person, activ, collect, famili, carri, which"
54,   Permanent crops   ,"['perman', 'fruit', 'citru', 'fruit', 'berri', 'plantat', 'vineyard', 'other', 'perman', 'human', 'consumpt', 'coffe', 'carob', 'other', 'purpos', 'nurseri', 'christma', 'plant', 'plait', 'rattan', 'bamboo', 'perman', 'usual', 'ligneou', 'shrub', 'grown', 'rotat', 'occupi', 'yield', 'harvest', 'sever', 'usual', 'consecut', 'perman', 'usual', 'intend', 'human', 'consumpt', 'gener', 'yield', 'higher', 'hectar', 'annual', 'import', 'shape', 'rural', 'landscap', 'through', 'orchard', 'vineyard', 'plantat', 'balanc', 'agricultur', 'within', 'environ', 'orchard', 'continu', 'minimum', 'space', 'between', 'continu', 'space', 'includ', 'young', 'fruit', 'berri', 'plantat', 'which', 'product', 'includ', 'plant', 'onward', 'berri', 'plantat', 'includ', 'their', 'perman', 'young', 'plantat', 'which', 'product', 'plantat', 'onward', 'temporarili', 'abandon', 'plantat', 'there', 'possibl', 'revers', 'maximum', 'rattan', 'bamboo', 'christma', 'plant', 'commerci', 'purpos', 'outsid', 'woodland', 'utilis', 'agricultur', 'origin', 'plant', 'product', 'systemat', 'harvest', 'annual', 'befor', 'cherri', 'chestnut', 'exclud', 'perman', 'which', 'usual', 'treat', 'veget', 'ornament', 'industri', 'plant', 'asparagu', 'decor', 'shrub', 'cultiv', 'their', 'blossom', 'strawberri', 'certain', 'energi', 'miscanthu', 'respect', 'produc', 'exclus', 'consumpt', 'fruit', 'longer', 'product', 'clearli', 'abandon', 'cherri', 'chestnut', 'clearli', 'abandon', 'which', 'product', 'fruit', 'which', 'produc', 'fruit', 'margin', 'exampl', 'graze', 'under', 'christma', 'plantat', 'which', 'longer', 'maintain', 'belong', 'short', 'rotat', 'coppic', 'srcaa']",18,0.767799973487854,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
55,   Permanent grassland   ,"['perman', 'grassland', 'perman', 'sever', 'consecut', 'normal', 'herbac', 'fodder', 'forag', 'energi', 'purpos', 'through', 'cultiv', 'natur', 'which', 'includ', 'rotat', 'grassland', 'graze', 'silag', 'renew', 'energi', 'product', 'grassland', 'fodder', 'interest', 'includ', 'veget', 'speci', 'fodder', 'interest', 'includ', 'harvest', 'perman', 'grass', 'regardless', 'perman', 'grassland', 'renew', 'energi', 'product', 'pastur', 'meadow', 'normal', 'intens', 'graze', 'rough', 'graze', 'which', 'perman', 'graze', 'yield', 'normal', 'mountain', 'normal', 'improv', 'fertilis', 'mobilis', 'drainag', 'which', 'suitabl', 'extens', 'graze', 'perman', 'grassland', 'longer', 'product', 'purpos', 'payment', 'subsidi', 'taken', 'product', 'which', 'maintain', 'agricultur', 'environment', 'condit', 'exclud', 'without', 'fodder', 'interest', 'without', 'speci', 'fodder']",18,0.9855999946594238,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
56,Area grazed,"['graze', 'total', 'pastur', 'otherwis', 'alloc', 'agricultur', 'which', 'graze', 'refer', 'graze', 'harvest', 'other', 'includ', 'grassland', 'graze', 'independ', 'temporari', 'perman', 'natur', 'perman', 'grassland', 'longer', 'product', 'purpos', 'howev', 'exclud', 'common', 'allot', 'individu']",18,0.9648000001907349,"product, plant, includ, which, other, perman, agricultur, harvest, exclud, arabl"
58,   Agri-environmental indicators (AEI)   ,"['environment', 'indic', 'sometim', 'abbrevi', 'order', 'monitor', 'integr', 'environment', 'concern', 'common', 'agricultur', 'polici', 'these', 'indic', 'provid', 'inform', 'environ', 'track', 'impact', 'agricultur', 'environ', 'assess', 'impact', 'agricultur', 'environment', 'polici', 'environment', 'manag', 'inform', 'agricultur', 'environment', 'polici', 'decis', 'illustr', 'environment', 'relationship', 'broader', 'public', 'indic', 'present', 'indic', 'context', 'indic', 'sustain', 'develop', 'indic', 'through', 'commiss', 'commun', 'final']",4,0.3571999967098236,"develop, environment, research, econom, account, health, nation, manag, resourc, system"
59,   Farm structure survey (FSS)   ,"['basic', 'structur', 'survei', 'abbrevi', 'known', 'survei', 'structur', 'agricultur', 'carri', 'european', 'union', 'member', 'state', 'conduct', 'consist', 'throughout', 'common', 'methodolog', 'regular', 'provid', 'therefor', 'compar', 'repres', 'statist', 'across', 'countri', 'region', 'level', 'level', 'everi', 'carri', 'sampl', 'survei', 'censu', 'censu', 'cover', 'member', 'state', 'latvia', 'hungari', 'slovenia', 'slovakia', 'norwai', 'while', 'censu', 'cover', 'member', 'state', 'croatia', 'iceland', 'norwai', 'switzerland', 'montenegro', 'serbia', 'special', 'survei', 'survei', 'agricultur', 'product', 'method', 'carri', 'carri', 'togeth', 'censu', 'countri', 'wherea', 'other', 'countri', 'carri', 'sampl', 'survei', 'censu', 'level', 'individu', 'enabl', 'cross', 'comparison', 'variabl', 'collect', 'censu', 'sampl', 'survei', 'cover', 'member', 'state', 'survei', 'cover', 'member', 'state', 'iceland', 'norwai', 'switzerland', 'montenegro', 'north', 'macedonia', 'serbia', 'structur', 'eurostat', 'countri', 'collect', 'inform', 'individu', 'agricultur', 'observ', 'strict', 'confidenti', 'forward', 'eurostat', 'inform', 'collect', 'cover', 'livestock', 'number', 'rural', 'develop', 'manag', 'labour', 'input', 'includ', 'gender', 'relationship', 'holder', 'agricultur', 'survei', 'aggreg', 'differ', 'geograph', 'level', 'countri', 'region', 'basic', 'survei', 'district', 'level', 'arrang', 'class', 'statu', 'legal', 'statu', 'object', 'basic', 'underli', 'agricultur', 'cover', 'agricultur', 'which', 'minimum', 'requir', 'applic', 'legisl', 'articl', 'structur', 'survei', 'threshold', 'legal', 'regul', 'novemb', 'structur', 'survei', 'survei', 'agricultur', 'product', 'method', 'which', 'repeal', 'council', 'regul', 'regul', 'structur', 'survei', 'provid', 'statist', 'inform', 'repeal', 'regul']",11,0.5737000107765198,"survei, agricultur, household, indic, person, activ, collect, famili, carri, which"
